['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:78', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:0f', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:51', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:18', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:57', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:52', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:7d', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:6e', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:61', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:59', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:54', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:2b', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:84', '0x0x806', '8', 'output=3']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:19', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:70', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:2e', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:45', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:2a', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:6c', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:46', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:43', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:38', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:1d', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:3a', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:21', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:11', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:63', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:77', '0x0x806', '8', 'output=1']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:6b', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:6a', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:80', '0x0x806', '8', 'output=3']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:4f', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:7c', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:88', '00:00:00:00:00:8a', '0x0x806', '6', 'output=8']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:68', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:2d', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:12', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:81', '0x0x806', '8', 'output=3']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:23', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:76', '0x0x806', '8', 'output=1']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:58', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:7d', '0x0x806', '8', 'output=2']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:2f', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:60', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:79', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:22', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:14', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:78', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:53', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:73', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:5e', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:5c', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:71', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:78', '0x0x806', '8', 'output=2']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:08', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:5a', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:0d', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:7e', '0x0x806', '8', 'output=2']
['1', '5', '42', '1', '9007199254740992', '00:00:00:00:00:66', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:01', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:7b', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:85', '0x0x806', '8', 'output=3']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:85', '00:00:00:00:00:8a', '0x0x806', '3', 'output=8']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:86', '0x0x806', '8', 'output=4']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:83', '0x0x806', '8', 'output=3']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:42', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:6a', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:86', '00:00:00:00:00:8a', '0x0x806', '4', 'output=8']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:26', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:32', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:0c', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:5f', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:89', '00:00:00:00:00:8a', '0x0x806', '7', 'output=8']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:03', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:4b', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:74', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:7a', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:1f', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '8', '42', '1', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:8a', '0x0x806', '10', 'output=8']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:62', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:75', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:76', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:66', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:7b', '0x0x806', '8', 'output=2']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:78', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:4e', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:89', '0x0x806', '8', 'output=7']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:8b', '0x0x806', '10', 'output=9']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:0b', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:80', '00:00:00:00:00:8a', '0x0x806', '3', 'output=8']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:6d', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:28', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:81', '00:00:00:00:00:8a', '0x0x806', '3', 'output=8']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:6b', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:44', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:02', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:79', '0x0x806', '10', 'output=2']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:6f', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:64', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:25', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:69', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:71', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:84', '00:00:00:00:00:8a', '0x0x806', '3', 'output=8']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:75', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:72', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:4c', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:87', '0x0x806', '8', 'output=5']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:3f', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:33', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:74', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:67', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:34', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:82', '0x0x806', '8', 'output=3']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:5d', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:7f', '00:00:00:00:00:8a', '0x0x806', '3', 'output=8']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:79', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:29', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:76', '00:00:00:00:00:8a', '0x0x806', '1', 'output=8']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:72', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:13', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:07', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:73', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:7a', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:40', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:15', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:7a', '0x0x806', '8', 'output=2']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:6d', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:77', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:1c', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:05', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:04', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:7a', '0x0x806', '10', 'output=2']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:41', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:10', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:1a', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:81', '00:00:00:00:00:8c', '0x0x800', '3', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:18', '0x0x800', '10', 'output=1']
['1', '4', '98', '1', '9007199254740992', '00:00:00:00:00:10', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '5', '98', '1', '9007199254740992', '00:00:00:00:00:68', '00:00:00:00:00:8b', '0x0x800', '1', 'output=9']
['1', '4', '98', '1', '9007199254740992', '00:00:00:00:00:0d', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:04', '0x0x800', '10', 'output=1']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:8b', '00:00:00:00:00:66', '0x0x800', '9', 'output=1']
['1', '3', '98', '1', '9007199254740992', '00:00:00:00:00:35', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:88', '00:00:00:00:00:8b', '0x0x800', '6', 'output=9']
['1', '3', '98', '1', '9007199254740992', '00:00:00:00:00:21', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '4', '98', '1', '9007199254740992', '00:00:00:00:00:17', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:89', '00:00:00:00:00:8b', '0x0x800', '7', 'output=9']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:8b', '00:00:00:00:00:76', '0x0x800', '9', 'output=1']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:78', '00:00:00:00:00:8c', '0x0x800', '2', 'output=10']
['1', '2', '98', '1', '9007199254740992', '00:00:00:00:00:44', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '3', '98', '1', '9007199254740992', '00:00:00:00:00:23', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '2', '98', '1', '9007199254740992', '00:00:00:00:00:3e', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '3', '98', '1', '9007199254740992', '00:00:00:00:00:1c', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:6a', '00:00:00:00:00:8b', '0x0x800', '2', 'output=9']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:82', '00:00:00:00:00:8c', '0x0x800', '3', 'output=10']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:54', '0x0x800', '10', 'output=1']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:30', '0x0x800', '10', 'output=1']
['1', '3', '98', '1', '9007199254740992', '00:00:00:00:00:2f', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:32', '0x0x800', '10', 'output=1']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:5a', '0x0x800', '10', 'output=1']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:8b', '00:00:00:00:00:75', '0x0x800', '9', 'output=1']
['1', '4', '0', '0', '9007199254740992', '00:00:00:00:00:78', '00:00:00:00:00:8b', '0x0x800', '2', 'output=9']
['1', '3', '98', '1', '9007199254740992', '00:00:00:00:00:30', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:8c', '00:00:00:00:00:40', '0x0x800', '10', 'output=1']
['1', '4', '98', '1', '9007199254740992', '00:00:00:00:00:08', '00:00:00:00:00:8c', '0x0x800', '1', 'output=10']
